step,zone,baseline_temp_c,agent_temp_c,baseline_occ,agent_occ
1,SPACE1-1,21.344,21.5,0,0
1,SPACE2-1,21.538,21.7,0,0
1,SPACE3-1,21.336,21.5,0,0
1,SPACE4-1,21.964,22.2,0,0
1,SPACE5-1,22.844,23.0,0,0
2,SPACE1-1,21.273,21.3,0,0
2,SPACE2-1,21.444,21.5,0,0
2,SPACE3-1,21.266,21.3,0,0
2,SPACE4-1,21.814,22.0,0,0
2,SPACE5-1,22.688,22.8,0,0
3,SPACE1-1,21.238,21.2,0,0
3,SPACE2-1,21.38,21.4,0,0
3,SPACE3-1,21.23,21.2,0,0
3,SPACE4-1,21.7,21.8,0,0
3,SPACE5-1,22.527,22.6,0,0
4,SPACE1-1,21.23,21.2,0,0
4,SPACE2-1,21.34,21.3,0,0
4,SPACE3-1,21.223,21.2,0,0
4,SPACE4-1,21.618,21.6,0,0
4,SPACE5-1,22.391,22.4,0,0
5,SPACE1-1,21.208,21.1,0,0
5,SPACE2-1,21.294,21.3,0,0
5,SPACE3-1,21.201,21.1,0,0
5,SPACE4-1,21.534,21.5,0,0
5,SPACE5-1,22.255,22.3,0,0
6,SPACE1-1,21.169,21.1,0,0
6,SPACE2-1,21.24,21.2,0,0
6,SPACE3-1,21.163,21.1,0,0
6,SPACE4-1,21.449,21.4,0,0
6,SPACE5-1,22.142,22.1,0,0
7,SPACE1-1,21.127,21.1,0,0
7,SPACE2-1,21.188,21.1,0,0
7,SPACE3-1,21.122,21.0,0,0
7,SPACE4-1,21.369,21.3,0,0
7,SPACE5-1,22.032,22.0,0,0
8,SPACE1-1,21.086,21.0,0,0
8,SPACE2-1,21.141,21.1,0,0
8,SPACE3-1,21.082,21.0,0,0
8,SPACE4-1,21.298,21.2,0,0
8,SPACE5-1,21.938,21.9,0,0
9,SPACE1-1,21.047,20.9,0,0
9,SPACE2-1,21.098,21.0,0,0
9,SPACE3-1,21.044,20.9,0,0
9,SPACE4-1,21.234,21.2,0,0
9,SPACE5-1,21.847,21.8,0,0
10,SPACE1-1,21.01,20.9,0,0
10,SPACE2-1,21.057,21.0,0,0
10,SPACE3-1,21.007,20.9,0,0
10,SPACE4-1,21.175,21.1,0,0
10,SPACE5-1,21.77,21.7,0,0
11,SPACE1-1,20.973,20.8,0,0
11,SPACE2-1,21.018,20.9,0,0
11,SPACE3-1,20.971,20.8,0,0
11,SPACE4-1,21.12,21.0,0,0
11,SPACE5-1,21.7,21.6,0,0
12,SPACE1-1,20.937,20.8,0,0
12,SPACE2-1,20.981,20.9,0,0
12,SPACE3-1,20.935,20.8,0,0
12,SPACE4-1,21.069,21.0,0,0
12,SPACE5-1,21.636,21.5,0,0
13,SPACE1-1,20.903,20.8,0,0
13,SPACE2-1,20.946,20.8,0,0
13,SPACE3-1,20.902,20.8,0,0
13,SPACE4-1,21.023,20.9,0,0
13,SPACE5-1,21.575,21.4,0,0
14,SPACE1-1,20.871,20.7,0,0
14,SPACE2-1,20.913,20.8,0,0
14,SPACE3-1,20.87,20.7,0,0
14,SPACE4-1,20.979,20.8,0,0
14,SPACE5-1,21.518,21.3,0,0
15,SPACE1-1,20.841,20.7,0,0
15,SPACE2-1,20.882,20.7,0,0
15,SPACE3-1,20.84,20.7,0,0
15,SPACE4-1,20.939,20.8,0,0
15,SPACE5-1,21.465,21.3,0,0
16,SPACE1-1,20.812,20.6,0,0
16,SPACE2-1,20.852,20.7,0,0
16,SPACE3-1,20.811,20.6,0,0
16,SPACE4-1,20.902,20.7,0,0
16,SPACE5-1,21.415,21.2,0,0
17,SPACE1-1,20.78,20.6,0,0
17,SPACE2-1,20.821,20.6,0,0
17,SPACE3-1,20.78,20.6,0,0
17,SPACE4-1,20.864,20.7,0,0
17,SPACE5-1,21.37,21.2,0,0
18,SPACE1-1,20.755,20.6,0,0
18,SPACE2-1,20.809,20.6,0,0
18,SPACE3-1,20.773,20.6,0,0
18,SPACE4-1,20.841,20.7,0,0
18,SPACE5-1,21.329,21.1,0,0
19,SPACE1-1,20.74,20.5,0,0
19,SPACE2-1,20.818,20.6,0,0
19,SPACE3-1,20.793,20.6,0,0
19,SPACE4-1,20.836,20.6,0,0
19,SPACE5-1,21.291,21.1,0,0
20,SPACE1-1,20.731,20.5,0,0
20,SPACE2-1,20.84,20.6,0,0
20,SPACE3-1,20.822,20.6,0,0
20,SPACE4-1,20.844,20.6,0,0
20,SPACE5-1,21.256,21.0,0,0
21,SPACE1-1,20.723,20.5,0,0
21,SPACE2-1,20.862,20.6,0,0
21,SPACE3-1,20.846,20.6,0,0
21,SPACE4-1,20.858,20.6,0,0
21,SPACE5-1,21.227,21.0,0,0
22,SPACE1-1,20.711,20.5,0,0
22,SPACE2-1,20.886,20.6,0,0
22,SPACE3-1,20.868,20.6,0,0
22,SPACE4-1,20.875,20.6,0,0
22,SPACE5-1,21.201,20.9,0,0
